Id;Class.Method;Description
0x0001;Schedule.ReadXml;reader is null.
0x0002;Schedule.ReadXml;type attribute invalid.
0x0003;Schedule.ReadXml;weekDay or weekDays attribute invalid.
0x0004;Schedule.ReadXml;months attribute invalid.
0x0005;Schedule.ReadXml;weekInMonth attribute invalid.
0x0006;Schedule.ReadXml;type attribute missing.
0x0007;Schedule.WriteXml;writer is null.
0x0008;Schedule.AssertScheduledDateTime;scheduledDateTime is null.
0x0009;Schedule.AssertInterval;interval is null.
0x000a;Schedule.AssertAssertWeekDays;weekDays is null.
0x000b;Schedule.AssertStartTime;startTime is null.
0x000c;Schedule.AssertDayInMonth;dayInMonth is null.
0x000d;Schedule.AssertMonths;months is null.
0x000e;Schedule.AssertWeekInMonth;weekInMonth is null.
0x000f;Schedule.AssertTimeSpanInterval;interval is negative.
0x0010;Schedule.AssertWeekDays;No weekday specified.
0x0011;Schedule.AssertStartTime;startTime is negative or greater than 24h.
0x0012;Schedule.AssertAssertDayWeekInterval;interval is not positive.
0x0013;Schedule.AssertDayInMonth;dayInMonth is smaller than -31 or greater than 31.
0x0014;Schedule.AssertMonths;No months specified.
0x0015;Schedule.AssertWeekDay;More than one week day specified.
0x0016;ScheduledTask.ReadXml;reader is null.
0x0017;ScheduledTask.WriteXml;writer is null.
0x0018;ScheduledTask.ReadXml;schedule is null.
0x0019;ScheduledTask.ReadXml;action is null.
0x001a;ScheduledTask.ctor;schedule is null.
0x001b;ScheduledTask.ctor;action is null.
0x001b;ScheduledTask.Reschedule;schedule is null.
0x001c;ScheduledTask.AssertActice;Object is not initialized.
0x001d;
0x001e;Scheduler.AssertInterval;interval may not be negative.
0x001f;Scheduler.Stop;timeout may not be negative.
0x0020;Scheduler.Stop;timeout has elapsed, but tasks are still running.
0x0021;ScheduledTaskStartingEventArgs.ctor;task is null.
0x0022;ScheduledTaskCompletedEventArgs.ctor;task is null.
